Tot_Benes,Tot_Srvcs,Avg_Mdcr_Stdzd_Amt,Tot_Benes_standard_normal_variate,Tot_Srvcs_standard_normal_variate,Avg_Mdcr_Stdzd_Amt_standard_normal_variate,Is_Outlier,Cluster,IQR_Outlier_Tot_Benes,IQR_Outlier_Tot_Srvcs,IQR_Outlier_Avg_Mdcr_Amt,Actual_Outliers
26,29.0,793.74,-1.68774125212701,-2.627941968346078,13.849217151678138,False,2,False,False,False,False
22,25.0,758.02,-2.820403792165324,-3.313675763233213,11.30409911102091,False,2,False,False,False,False
13,16.0,578.76,-5.3688945072515315,-4.8565768017292665,-1.468517349455391,False,0,False,False,False,False
70,99.0,803.92,10.771546688294444,9.372399442178791,14.574561542884474,False,2,True,True,False,True
24,30.0,537.69,-2.254072522146167,-2.456508519624294,-4.394833080972523,False,0,False,False,False,False
13,16.0,493.05,-5.3688945072515315,-4.8565768017292665,-7.5755181127457165,False,0,False,False,False,False
32,41.0,761.93,0.011252557930461,-0.570740583684671,11.582694058920396,False,2,False,False,False,False
16,20.0,505.89,-4.519397602222795,-4.170843006842132,-6.660643654681924,False,0,False,False,False,False
22,26.0,529.84,-2.820403792165324,-3.1422423145114293,-4.95416053391651,False,0,False,False,False,False
15,22.0,572.65,-4.802563237232374,-3.827976109398565,-1.9038664879888638,False,0,False,False,False,False
24,33.0,597.63,-2.254072522146167,-1.942208173458942,-0.123993905244814,False,0,False,False,False,False
15,17.0,588.71,-4.802563237232374,-4.685143353007483,-0.759560896360781,False,0,False,False,False,False
163,208.0,757.86,37.10595074418525,28.05864535285323,11.292698806247534,False,1,True,True,False,True
54,65.0,808.23,6.240896528141189,3.5436621856381403,14.881657252717416,False,2,False,False,False,False
60,80.0,775.74,7.93989033819866,6.115163916464898,12.566682864672819,False,2,False,False,False,False
26,32.0,531.74,-1.68774125212701,-2.1136416221807264,-4.818781914732618,False,0,False,False,False,False
17,21.0,567.42,-4.236231967213217,-3.999409558120348,-2.2765139502687437,False,0,False,False,False,False
11,14.0,578.37,-5.935225777270689,-5.199443699172836,-1.4963055923405049,False,0,False,False,False,False
17,22.0,574.63,-4.236231967213217,-3.827976109398565,-1.7627877164182777,False,0,False,False,False,False
36,44.0,537.16,1.1439150979687749,-0.05644023751932,-4.432596590534352,False,0,False,False,False,False
11,16.0,582.44,-5.935225777270689,-4.8565768017292665,-1.2063103396676318,False,0,False,False,False,False
22,31.0,801.31,-2.820403792165324,-2.28507507090251,14.388594071268702,False,2,False,False,False,False
27,33.0,741.14,-1.404575617117431,-1.942208173458942,10.101366957429262,False,2,False,False,False,False
17,24.0,577.54,-4.236231967213217,-3.4851092119549967,-1.5554446733524196,False,0,False,False,False,False
42,51.0,774.18,2.8429089080262457,1.143593903533166,12.45552989313235,False,2,False,False,False,False
13,19.0,588.1,-5.3688945072515315,-4.3422764555639155,-0.803024558309295,False,0,False,False,False,False
15,18.0,522.4,-4.802563237232374,-4.513709904285699,-5.484274705878713,False,0,False,False,False,False
13,15.0,553.39,-5.3688945072515315,-5.028010250451052,-3.2761781750845547,False,0,False,False,False,False
11,14.0,109.34,-5.935225777270689,-5.199443699172836,-34.91558651645744,True,0,False,False,True,True
11,13.0,622.67,-5.935225777270689,-5.370877147894619,1.6601537917892482,False,0,False,False,False,False
42,61.0,505.57,2.8429089080262457,2.857928390751005,-6.683444264228685,False,0,False,False,False,False
46,57.0,581.82,3.97557144806456,2.1721945958638686,-1.2504865206644817,False,0,False,False,False,False
15,15.0,588.71,-4.802563237232374,-5.028010250451052,-0.759560896360781,False,0,False,False,False,False
34,46.0,585.51,0.577583827949618,0.286426659924247,-0.9875669918283959,False,0,False,False,False,False
29,33.0,591.6,-0.8382443470982739,-1.942208173458942,-0.5536428913915941,False,0,False,False,False,False
17,22.0,814.81,-4.236231967213217,-3.827976109398565,15.350494786522692,False,2,False,False,False,False
127,143.0,762.42,26.91198788384042,16.91547118593728,11.617607492288876,True,2,True,True,False,True
30,41.0,101.43,-0.555078712088695,-0.570740583684671,-35.479189083691445,True,0,False,False,True,True
41,48.0,580.96,2.559743273016668,0.6292935573678151,-1.3117631588214038,False,0,False,False,False,False
16,18.0,539.65,-4.519397602222795,-4.513709904285699,-4.255179347498617,False,0,False,False,False,False
18,21.0,588.38,-3.953066332203638,-3.999409558120348,-0.7830740249558809,False,0,False,False,False,False
170,251.0,811.71,39.0881101892523,35.43028364788994,15.129613881538448,False,1,True,True,False,True
76,89.0,809.39,12.470540498351916,7.6580649549609525,14.964309462324424,False,2,True,True,False,True
37,50.0,493.8,1.4270807329783528,0.9721604548113821,-7.522079184120495,False,0,False,False,False,False
14,16.0,595.99,-5.085728872241953,-4.8565768017292665,-0.240847029171965,False,0,False,False,False,False
14,17.0,570.93,-5.085728872241953,-4.685143353007483,-2.026419764302708,False,0,False,False,False,False
22,33.0,588.71,-2.820403792165324,-1.942208173458942,-0.759560896360781,False,0,False,False,False,False
18,25.0,575.98,-3.953066332203638,-3.313675763233213,-1.666597644892877,False,0,False,False,False,False
15,21.0,756.61,-4.802563237232374,-3.999409558120348,11.203633925205498,False,2,False,False,False,False
17,19.0,586.86,-4.236231967213217,-4.3422764555639155,-0.891376920302996,False,0,False,False,False,False
24,34.0,802.83,-2.254072522146167,-1.7707747247371581,14.496896966615825,False,2,False,False,False,False
26,43.0,446.76,-1.68774125212701,-0.22787368624110402,-10.873768787494397,False,0,False,False,False,False
14,16.0,789.35,-5.085728872241953,-4.8565768017292665,13.53642128945851,False,2,False,False,False,False
548,764.0,725.14,146.12472022287298,123.37564284216504,8.961336480091196,True,1,True,True,False,True
22,25.0,572.69,-2.820403792165324,-3.313675763233213,-1.9010164117955128,False,0,False,False,False,False
17,25.0,555.74,-4.236231967213217,-3.313675763233213,-3.1087361987255258,False,0,False,False,False,False
11,13.0,582.29,-5.935225777270689,-5.370877147894619,-1.216998125392683,False,0,False,False,False,False
11,13.0,576.47,-5.935225777270689,-5.370877147894619,-1.6316842115243977,False,0,False,False,False,False
11,12.0,588.71,-5.935225777270689,-5.542310596616403,-0.759560896360781,False,0,False,False,False,False
37,60.0,532.78,1.4270807329783528,2.686494942029221,-4.744679933705646,False,0,False,False,False,False
57,77.0,807.99,7.0903934331699245,5.600863570299547,14.864556795557348,False,2,False,False,False,False
19,24.0,746.91,-3.66990069719406,-3.4851092119549967,10.512490448319294,False,2,False,False,False,False
50,56.0,760.25,5.108233988102874,2.000761147142085,11.462990858799907,False,2,False,False,False,False
32,38.0,567.46,0.011252557930461,-1.085040929850023,-2.273663874075394,False,0,False,False,False,False
18,21.0,573.55,-3.953066332203638,-3.999409558120348,-1.8397397736385999,False,0,False,False,False,False
43,52.0,808.34,3.126074543035825,1.3150273522549498,14.88949496224912,False,2,False,False,False,False
15,21.0,576.59,-4.802563237232374,-3.999409558120348,-1.623133982944363,False,0,False,False,False,False
22,26.0,562.61,-2.820403792165324,-3.1422423145114293,-2.6192356125184952,False,0,False,False,False,False
25,34.0,541.89,-1.9709068871365882,-1.7707747247371581,-4.095575080671286,False,0,False,False,False,False
12,14.0,575.99,-5.652060142261109,-5.199443699172836,-1.6658851258445408,False,0,False,False,False,False
15,19.0,520.54,-4.802563237232374,-4.3422764555639155,-5.616803248869263,False,0,False,False,False,False
84,112.0,515.87,14.735865578428545,11.60103427556198,-5.949549644442308,False,0,True,True,False,True
26,33.0,564.26,-1.68774125212701,-1.942208173458942,-2.501669969543009,False,0,False,False,False,False
12,15.0,490.59,-5.652060142261109,-5.028010250451052,-7.750797798636446,False,0,False,False,False,False
40,45.0,721.43,2.276577638007089,0.114993211202463,8.696991913158431,False,2,False,False,False,False
12,14.0,588.71,-5.652060142261109,-5.199443699172836,-0.759560896360781,False,0,False,False,False,False
25,38.0,526.04,-1.9709068871365882,-1.085040929850023,-5.224917772284305,False,0,False,False,False,False
18,26.0,814.81,-3.953066332203638,-3.1422423145114293,15.350494786522692,False,2,False,False,False,False
19,22.0,533.78,-3.66990069719406,-3.827976109398565,-4.673428028872017,False,0,False,False,False,False
18,20.0,582.82,-3.953066332203638,-4.170843006842132,-1.179234615830854,False,0,False,False,False,False
29,30.0,783.02,-0.8382443470982739,-2.456508519624294,13.085396731861634,False,2,False,False,False,False
21,25.0,588.71,-3.103569427174902,-3.313675763233213,-0.759560896360781,False,0,False,False,False,False
17,19.0,604.49,-4.236231967213217,-4.3422764555639155,0.364794161913879,False,0,False,False,False,False
18,20.0,577.5,-3.953066332203638,-4.170843006842132,-1.5582947495457629,False,0,False,False,False,False
20,27.0,584.31,-3.386735062184481,-2.9708088657896448,-1.0730692776287538,False,0,False,False,False,False
31,41.0,521.65,-0.271913077079117,-0.570740583684671,-5.537713634503934,False,0,False,False,False,False
23,23.0,734.73,-2.537238157155745,-3.656542660676781,9.6446422474457,False,2,False,False,False,False
11,14.0,588.71,-5.935225777270689,-5.199443699172836,-0.759560896360781,False,0,False,False,False,False
88,126.0,712.4,15.868528118466859,14.001102557666956,8.053587212510765,False,2,True,True,False,True
15,20.0,506.29,-4.802563237232374,-4.170843006842132,-6.63214289274847,False,0,False,False,False,False
21,28.0,584.51,-3.103569427174902,-2.799375417067862,-1.0588188966620249,False,0,False,False,False,False
12,15.0,544.27,-5.652060142261109,-5.028010250451052,-3.9259955471672496,False,0,False,False,False,False
14,18.0,790.96,-5.085728872241953,-4.513709904285699,13.65113685624065,False,2,False,False,False,False
15,20.0,771.5,-4.802563237232374,-4.170843006842132,12.264574788178232,False,2,False,False,False,False
76,91.0,805.08,12.470540498351916,8.00093185240452,14.65721375249149,False,2,True,True,False,True
54,68.0,811.89,6.240896528141189,4.057962531803493,15.142439224408498,False,2,False,False,False,False
13,14.0,565.97,-5.3688945072515315,-5.199443699172836,-2.379829212277501,False,0,False,False,False,False
25,29.0,550.64,-1.9709068871365882,-2.627941968346078,-3.4721209133770343,False,0,False,False,False,False
47,54.0,729.04,4.258737083074139,1.6578942496985178,9.239218908942348,False,2,False,False,False,False
48,62.0,794.57,4.541902718083718,3.0293618394727893,13.908356232690052,False,2,False,False,False,False
44,63.0,582.31,3.409240178045403,3.200795288194573,-1.2155730872960118,False,0,False,False,False,False
27,31.0,775.08,-1.404575617117431,-2.28507507090251,12.519656607482624,False,2,False,False,False,False
41,87.0,372.62,2.559743273016668,7.315198057517385,-16.156385011859633,False,0,False,False,False,False
19,24.0,583.79,-3.66990069719406,-3.4851092119549967,-1.1101202681422397,False,0,False,False,False,False
21,27.0,558.91,-3.103569427174902,-2.9708088657896448,-2.8828676604029253,False,0,False,False,False,False
12,17.0,579.35,-5.652060142261109,-4.685143353007483,-1.4264787256035478,False,0,False,False,False,False
11,11.0,588.71,-5.935225777270689,-5.713744045338187,-0.759560896360781,False,0,False,False,False,False
24,28.0,531.94,-2.254072522146167,-2.799375417067862,-4.804531533765888,False,0,False,False,False,False
41,55.0,755.55,2.559743273016668,1.8293276984203017,11.128106906081847,False,2,False,False,False,False
13,15.0,807.4,-5.3688945072515315,-5.028010250451052,14.822518171705504,False,2,False,False,False,False
14,18.0,523.3,-5.085728872241953,-4.513709904285699,-5.420147991528449,False,0,False,False,False,False
12,15.0,588.71,-5.652060142261109,-5.028010250451052,-0.759560896360781,False,0,False,False,False,False
15,18.0,814.81,-4.802563237232374,-4.513709904285699,15.350494786522692,False,2,False,False,False,False
22,29.0,588.71,-2.820403792165324,-2.627941968346078,-0.759560896360781,False,0,False,False,False,False
111,129.0,768.5,22.381337723687164,14.515402903832307,12.050819073677344,False,2,True,True,False,True
11,15.0,583.57,-5.935225777270689,-5.028010250451052,-1.1257956872056318,False,0,False,False,False,False
21,27.0,814.81,-3.103569427174902,-2.9708088657896448,15.350494786522692,False,2,False,False,False,False
11,15.0,541.61,-5.935225777270689,-5.028010250451052,-4.115525614024701,False,0,False,False,False,False
13,302.0,33.59,-5.3688945072515315,44.1733895327009,-40.312918307604825,True,0,False,True,True,True
12,14.0,546.66,-5.652060142261109,-5.199443699172836,-3.7557034946148784,False,0,False,False,False,False
20,22.0,588.71,-3.386735062184481,-3.827976109398565,-0.759560896360781,False,0,False,False,False,False
15,17.0,597.37,-4.802563237232374,-4.685143353007483,-0.142519400501557,False,0,False,False,False,False
19,25.0,586.36,-3.66990069719406,-3.313675763233213,-0.92700287271981,False,0,False,False,False,False
12,15.0,543.21,-5.652060142261109,-5.028010250451052,-4.001522566290893,False,0,False,False,False,False
15,18.0,584.65,-4.802563237232374,-4.513709904285699,-1.0488436299853179,False,0,False,False,False,False
71,84.0,578.2,11.054712323304024,6.800897711352033,-1.508418416162219,False,2,True,False,False,True
41,49.0,814.81,2.559743273016668,0.800727006089598,15.350494786522692,False,2,False,False,False,False
23,27.0,588.71,-2.537238157155745,-2.9708088657896448,-0.759560896360781,False,0,False,False,False,False
18,21.0,502.31,-3.953066332203638,-3.999409558120348,-6.915725473986314,False,0,False,False,False,False
12,13.0,475.49,-5.652060142261109,-5.370877147894619,-8.826701561624239,False,0,False,False,False,False
100,138.0,797.33,19.2665157385818,16.05830394232836,14.105011490030863,False,2,True,True,False,True
