Tot_Benes,Tot_Srvcs,Avg_Mdcr_Stdzd_Amt,Tot_Benes_standard_normal_variate,Tot_Srvcs_standard_normal_variate,Avg_Mdcr_Stdzd_Amt_standard_normal_variate
28,32.0,581.89,-0.1121409982107853,-0.21136416221807264,-0.12454988873261334
29,38.0,771.93,-0.08382443470982745,-0.10850409298500233,1.2295213107256686
11,12.0,562.18,-0.5935225777270688,-0.5542310596616403,-0.264987393159696
13,22.0,117.75,-0.5368894507251532,-0.3827976109398565,-3.4316357996806617
12,16.0,588.58,-0.5652060142261109,-0.48565768017292676,-0.07688236439891526
19,26.0,510.07,-0.366990069719406,-0.3142242314511429,-0.6362810692477355
57,65.0,808.11,0.7090393433169925,0.354366218563814,1.4873107024137382
19,29.0,582.76,-0.366990069719406,-0.2627941968346078,-0.11835097301208759
13,21.0,559.8,-0.5368894507251532,-0.39994095581203487,-0.28194534651009967
24,31.0,472.87,-0.22540725221461672,-0.22850750709025103,-0.9013381552288348
22,29.0,574.82,-0.2820403792165324,-0.2627941968346078,-0.17492498544998847
73,86.0,739.78,1.162104359332318,0.7143764608795601,1.000446436685552
30,36.0,793.91,-0.055507871208869596,-0.1427907827293591,1.386132997549985
22,23.0,472.48,-0.2820403792165324,-0.3656542660676781,-0.9041169795173462
21,24.0,551.97,-0.31035694271749026,-0.3485109211954997,-0.3377355879948305
18,19.0,464.77,-0.39530663322036386,-0.43422764555639165,-0.9590521981440743
26,29.0,793.74,-0.16877412521270102,-0.2627941968346078,1.3849217151678135
22,25.0,758.02,-0.2820403792165324,-0.3313675763233213,1.130409911102091
13,16.0,578.76,-0.5368894507251532,-0.48565768017292676,-0.14685173494553913
70,99.0,803.92,1.0771546688294444,0.937239944217879,1.4574561542884474
24,30.0,537.69,-0.22540725221461672,-0.2456508519624294,-0.4394833080972523
13,16.0,493.05,-0.5368894507251532,-0.48565768017292676,-0.7575518112745717
32,41.0,761.93,0.0011252557930461152,-0.05707405836846718,1.1582694058920397
16,20.0,505.89,-0.45193976022227955,-0.41708430068421326,-0.6660643654681925
22,26.0,529.84,-0.2820403792165324,-0.3142242314511429,-0.49541605339165107
15,22.0,572.65,-0.4802563237232374,-0.3827976109398565,-0.19038664879888645
24,33.0,597.63,-0.22540725221461672,-0.19422081734589425,-0.012399390524481494
15,17.0,588.71,-0.4802563237232374,-0.4685143353007484,-0.07595608963607813
163,208.0,757.86,3.7105950744185248,2.805864535285323,1.1292698806247534
54,65.0,808.23,0.6240896528141189,0.354366218563814,1.4881657252717417
60,80.0,775.74,0.7939890338198661,0.6115163916464897,1.2566682864672818
26,32.0,531.74,-0.16877412521270102,-0.21136416221807264,-0.4818781914732618
17,21.0,567.42,-0.4236231967213217,-0.39994095581203487,-0.22765139502687445
11,14.0,578.37,-0.5935225777270688,-0.5199443699172835,-0.14963055923405055
17,22.0,574.63,-0.4236231967213217,-0.3827976109398565,-0.17627877164182781
36,44.0,537.16,0.11439150979687752,-0.005644023751932028,-0.44325965905343523
11,16.0,582.44,-0.5935225777270688,-0.48565768017292676,-0.12063103396676327
22,31.0,801.31,-0.2820403792165324,-0.22850750709025103,1.43885940712687
27,33.0,741.14,-0.14045756171174315,-0.19422081734589425,1.0101366957429259
17,24.0,577.54,-0.4236231967213217,-0.3485109211954997,-0.15554446733524205
42,51.0,774.18,0.28429089080262465,0.11435939035331666,1.245552989313235
13,19.0,588.1,-0.5368894507251532,-0.43422764555639165,-0.08030245583092957
15,18.0,522.4,-0.4802563237232374,-0.45137099042857,-0.5484274705878713
13,15.0,553.39,-0.5368894507251532,-0.5028010250451052,-0.3276178175084555
11,14.0,109.34,-0.5935225777270688,-0.5199443699172835,-3.4915586516457435
11,13.0,622.67,-0.5935225777270688,-0.5370877147894619,0.16601537917892484
42,61.0,505.57,0.28429089080262465,0.2857928390751005,-0.6683444264228685
46,57.0,581.82,0.39755714480645604,0.21721945958638697,-0.12504865206644827
15,15.0,588.71,-0.4802563237232374,-0.5028010250451052,-0.07595608963607813
34,46.0,585.51,0.05775838279496182,0.02864266599242474,-0.09875669918283966
29,33.0,591.6,-0.08382443470982745,-0.19422081734589425,-0.05536428913915949
17,22.0,814.81,-0.4236231967213217,-0.3827976109398565,1.535049478652269
127,143.0,762.42,2.691198788384042,1.691547118593728,1.1617607492288877
30,41.0,101.43,-0.055507871208869596,-0.05707405836846718,-3.547918908369144
41,48.0,580.96,0.2559743273016668,0.0629293557367815,-0.13117631588214046
16,18.0,539.65,-0.45193976022227955,-0.45137099042857,-0.4255179347498616
18,21.0,588.38,-0.39530663322036386,-0.39994095581203487,-0.07830740249558817
170,251.0,811.71,3.90881101892523,3.5430283647889937,1.5129613881538448
76,89.0,809.39,1.2470540498351916,0.7658064954960953,1.4964309462324425
37,50.0,493.8,0.14270807329783539,0.09721604548113827,-0.7522079184120495
14,16.0,595.99,-0.5085728872241952,-0.48565768017292676,-0.024084702917196527
14,17.0,570.93,-0.5085728872241952,-0.4685143353007484,-0.2026419764302708
22,33.0,588.71,-0.2820403792165324,-0.19422081734589425,-0.07595608963607813
18,25.0,575.98,-0.39530663322036386,-0.3313675763233213,-0.16665976448928774
15,21.0,756.61,-0.4802563237232374,-0.39994095581203487,1.1203633925205498
17,19.0,586.86,-0.4236231967213217,-0.43422764555639165,-0.08913769203029961
24,34.0,802.83,-0.22540725221461672,-0.17707747247371586,1.4496896966615824
26,43.0,446.76,-0.16877412521270102,-0.02278736862411041,-1.0873768787494398
14,16.0,789.35,-0.5085728872241952,-0.48565768017292676,1.3536421289458507
548,764.0,725.14,14.612472022287298,12.337564284216505,0.8961336480091197
22,25.0,572.69,-0.2820403792165324,-0.3313675763233213,-0.19010164117955136
17,25.0,555.74,-0.4236231967213217,-0.3313675763233213,-0.3108736198725526
11,13.0,582.29,-0.5935225777270688,-0.5370877147894619,-0.12169981253926834
11,13.0,576.47,-0.5935225777270688,-0.5370877147894619,-0.16316842115243987
11,12.0,588.71,-0.5935225777270688,-0.5542310596616403,-0.07595608963607813
37,60.0,532.78,0.14270807329783539,0.2686494942029221,-0.4744679933705646
57,77.0,807.99,0.7090393433169925,0.5600863570299547,1.4864556795557347
19,24.0,746.91,-0.366990069719406,-0.3485109211954997,1.0512490448319294
50,56.0,760.25,0.5108233988102875,0.20007611471420858,1.1462990858799906
32,38.0,567.46,0.0011252557930461152,-0.10850409298500233,-0.2273663874075394
18,21.0,573.55,-0.39530663322036386,-0.39994095581203487,-0.18397397736386
43,52.0,808.34,0.3126074543035825,0.13150273522549505,1.488949496224912
15,21.0,576.59,-0.4802563237232374,-0.39994095581203487,-0.1623133982944363
22,26.0,562.61,-0.2820403792165324,-0.3142242314511429,-0.2619235612518495
25,34.0,541.89,-0.19709068871365887,-0.17707747247371586,-0.40955750806712865
12,14.0,575.99,-0.5652060142261109,-0.5199443699172835,-0.16658851258445417
15,19.0,520.54,-0.4802563237232374,-0.43422764555639165,-0.5616803248869263
84,112.0,515.87,1.4735865578428544,1.160103427556198,-0.5949549644442308
26,33.0,564.26,-0.16877412521270102,-0.19422081734589425,-0.25016699695430095
12,15.0,490.59,-0.5652060142261109,-0.5028010250451052,-0.7750797798636446
40,45.0,721.43,0.22765776380070896,0.011499321120246356,0.8696991913158431
12,14.0,588.71,-0.5652060142261109,-0.5199443699172835,-0.07595608963607813
25,38.0,526.04,-0.19709068871365887,-0.10850409298500233,-0.5224917772284305
18,26.0,814.81,-0.39530663322036386,-0.3142242314511429,1.535049478652269
19,22.0,533.78,-0.366990069719406,-0.3827976109398565,-0.46734280288720176
18,20.0,582.82,-0.39530663322036386,-0.41708430068421326,-0.1179234615830854
29,30.0,783.02,-0.08382443470982745,-0.2456508519624294,1.3085396731861634
21,25.0,588.71,-0.31035694271749026,-0.3313675763233213,-0.07595608963607813
17,19.0,604.49,-0.4236231967213217,-0.43422764555639165,0.03647941619138798
18,20.0,577.5,-0.39530663322036386,-0.41708430068421326,-0.1558294749545763
20,27.0,584.31,-0.3386735062184481,-0.29708088657896453,-0.10730692776287545
31,41.0,521.65,-0.027191307707911738,-0.05707405836846718,-0.5537713634503935
23,23.0,734.73,-0.25372381571557456,-0.3656542660676781,0.9644642247445699
11,14.0,588.71,-0.5935225777270688,-0.5199443699172835,-0.07595608963607813
88,126.0,712.4,1.5868528118466858,1.4001102557666956,0.8053587212510764
15,20.0,506.29,-0.4802563237232374,-0.41708430068421326,-0.663214289274847
21,28.0,584.51,-0.31035694271749026,-0.2799375417067862,-0.10588188966620254
12,15.0,544.27,-0.5652060142261109,-0.5028010250451052,-0.39259955471672503
14,18.0,790.96,-0.5085728872241952,-0.45137099042857,1.3651136856240649
15,20.0,771.5,-0.4802563237232374,-0.41708430068421326,1.226457478817823
76,91.0,805.08,1.2470540498351916,0.800093185240452,1.465721375249149
54,68.0,811.89,0.6240896528141189,0.4057962531803492,1.5142439224408497
