Tot_Benes,Tot_Srvcs,Avg_Mdcr_Stdzd_Amt,Tot_Benes_standard_normal_variate,Tot_Srvcs_standard_normal_variate,Avg_Mdcr_Stdzd_Amt_standard_normal_variate
12,16.0,580.17,-0.6073895655816541,-0.5463277307344664,-0.13157401620792814
14,17.0,588.71,-0.5494471263473776,-0.5279310184078432,-0.07285562860279797
21,29.0,517.48,-0.3466485890274096,-0.30717047048836416,-0.5626109856418361
14,19.0,588.71,-0.5494471263473776,-0.49113759375459665,-0.07285562860279797
22,26.0,793.48,-0.31767736941027125,-0.3623606074682339,1.3350792929314406
23,27.0,790.99,-0.28870614979313297,-0.34396389514161063,1.3179588262877902
17,18.0,588.04,-0.4625334674959627,-0.5095343060812199,-0.07746234051092925
18,23.0,421.73,-0.4335622478788244,-0.41755074444810364,-1.2209582471396305
24,30.0,814.81,-0.2597349301759947,-0.2887737581617409,1.4817377481559617
15,132.0,90.29,-0.5204759067302392,1.5876908991538305,-3.4998367468871914
16,21.0,532.64,-0.49150468711310097,-0.4543441691013501,-0.45837553410860854
80,116.0,510.68,1.3626533683837494,1.2933435019278585,-0.6093656736646561
13,17.0,588.71,-0.5784183459645158,-0.5279310184078432,-0.07285562860279797
97,147.0,481.8,1.8551641018751002,1.8636415840531793,-0.807935583973338
13,16.0,553.23,-0.5784183459645158,-0.5463277307344664,-0.3168050890512758
58,67.0,815.2,0.7252865368067071,0.39190459792331933,1.4844192670278593
11,17.0,588.25,-0.6363607851987925,-0.5279310184078432,-0.07601844573375369
18,24.0,464.69,-0.4335622478788244,-0.3991540321214804,-0.925578629866051
32,39.0,534.42,-0.027965173238888405,-0.12320334722213165,-0.4461368069496941
56,78.0,807.22,0.6673440975724305,0.5942684335161751,1.4295512654951972
51,67.0,802.83,0.5224879994867391,0.39190459792331933,1.399366988962818
13,16.0,551.92,-0.5784183459645158,-0.5463277307344664,-0.3258122421850842
16,23.0,579.08,-0.49150468711310097,-0.41755074444810364,-0.139068517670409
15,17.0,557.54,-0.5204759067302392,-0.5279310184078432,-0.28717086767210653
33,44.0,568.09,0.0010060463782498813,-0.03121978558901541,-0.2146323443425841
66,87.0,809.87,0.9570562937438133,0.7598388444557843,1.4477718424452666
49,54.0,769.74,0.46454556025246246,0.15274733767721707,1.1718504262164782
21,23.0,560.51,-0.3466485890274096,-0.41755074444810364,-0.26675007010919827
11,17.0,805.45,-0.6363607851987925,-0.5279310184078432,1.4173812952304339
13,17.0,574.86,-0.5784183459645158,-0.5279310184078432,-0.168083927002218
35,48.0,37.39,0.058948485612526455,0.04236706371747759,-3.8635607169470694
61,74.0,549.04,0.8122001956581218,0.520681584209682,-0.3456142277006314
27,29.0,588.71,-0.17282127132457983,-0.30717047048836416,-0.07285562860279797
11,13.0,588.71,-0.6363607851987925,-0.6015178677143361,-0.07285562860279797
20,25.0,576.94,-0.37561980864454786,-0.38075731979485716,-0.15378249301876692
13,16.0,518.3,-0.5784183459645158,-0.5463277307344664,-0.5569729203214376
24,32.0,576.19,-0.2597349301759947,-0.2519803335084944,-0.15893926008010734
15,19.0,588.71,-0.5204759067302392,-0.49113759375459665,-0.07285562860279797
30,36.0,556.0,-0.08590761247316497,-0.1783934842020014,-0.297759429371392
16,17.0,543.69,-0.49150468711310097,-0.5279310184078432,-0.3823991660715258
71,89.0,793.01,1.1019123918295048,0.7966322691090308,1.3318477189063336
16,16.0,585.76,-0.49150468711310097,-0.5463277307344664,-0.09313891237740396
16,17.0,509.27,-0.49150468711310097,-0.5279310184078432,-0.6190603957399762
41,55.0,572.51,0.23277580331535616,0.17114405000384034,-0.1842417971277515
30,37.0,556.89,-0.08590761247316497,-0.15999677187537814,-0.29164006579193474
14,14.0,588.71,-0.5494471263473776,-0.5831211553877129,-0.07285562860279797
22,28.0,586.18,-0.31767736941027125,-0.32556718281498737,-0.0902511228230536
37,49.0,576.2,0.11689092484680302,0.06076377604410083,-0.15887050318595622
13,17.0,580.05,-0.5784183459645158,-0.5279310184078432,-0.13239909893774265
41,46.0,819.24,0.23277580331535616,0.0055736390642310875,1.5121970522649462
70,88.0,807.87,1.0729411722123665,0.7782355567824075,1.4340204636150253
16,21.0,54.15,-0.49150468711310097,-0.4543441691013501,-3.748324162349649
62,113.0,439.73,0.8411714152752602,1.2381533649479888,-1.0971958376674602
74,92.0,798.1,1.1888260506809196,0.8518224060889006,1.3668449780292975
98,125.0,807.61,1.8841353214922385,1.4589139128674677,1.4322327843670941
30,39.0,526.46,-0.08590761247316497,-0.12320334722213165,-0.5008672946940533
29,931.0,1.35,-0.11487883209030327,16.286664048125807,-4.111360563468015
50,58.0,799.89,0.49351677986960074,0.22633418698371008,1.3791524620823632
11,11.0,588.71,-0.6363607851987925,-0.6383112923675827,-0.07285562860279797
39,49.0,586.43,0.1748333640810796,0.06076377604410083,-0.08853220046927346
13,18.0,564.12,-0.5784183459645158,-0.5095343060812199,-0.24192883132061294
18,25.0,569.87,-0.4335622478788244,-0.38075731979485716,-0.2023936171836697
78,97.0,753.53,1.3047109291494727,0.9438059677220167,1.0603955007973735
13,14.0,585.07,-0.5784183459645158,-0.5831211553877129,-0.09788313807383674
31,33.0,461.22,-0.05693639285602669,-0.23358362118187115,-0.9494372721365192
22,27.0,584.65,-0.31767736941027125,-0.34396389514161063,-0.10077092762818789
11,11.0,535.19,-0.6363607851987925,-0.6383112923675827,-0.4408425261000506
59,73.0,769.91,0.7542577564238453,0.5022848718830588,1.1730192934170485
29,36.0,516.76,-0.11487883209030327,-0.1783934842020014,-0.5675614820207231
42,57.0,500.25,0.26174702293249447,0.2079374746570868,-0.6810791142643636
13,15.0,588.71,-0.5784183459645158,-0.5647244430610896,-0.07285562860279797
13,15.0,588.71,-0.5784183459645158,-0.5647244430610896,-0.07285562860279797
18,27.0,529.22,-0.4335622478788244,-0.34396389514161063,-0.4818903919083206
14,19.0,576.08,-0.5494471263473776,-0.49113759375459665,-0.1596955859157707
46,64.0,802.08,0.37763190140104763,0.3367144609434496,1.3942102219014776
14,15.0,560.73,-0.5494471263473776,-0.5647244430610896,-0.2652374184378716
43,53.0,554.09,0.29071824254963274,0.13435062535059383,-0.31089199615427204
99,123.0,756.52,1.9131065411093768,1.4221204882142213,1.080953812148584
12,14.0,508.81,-0.6073895655816541,-0.5831211553877129,-0.6222232128709315
20,30.0,569.42,-0.37561980864454786,-0.2887737581617409,-0.20548767742047425
18,21.0,507.79,-0.4335622478788244,-0.4543441691013501,-0.6292364160743544
15,19.0,570.12,-0.5204759067302392,-0.49113759375459665,-0.20067469482988953
53,88.0,551.99,0.5804304387210156,0.7782355567824075,-0.3253309439260254
24,28.0,582.4,-0.2597349301759947,-0.32556718281498737,-0.11624122881220916
114,136.0,790.66,2.347674835366451,1.6612777484603234,1.3156898487808002
24,30.0,537.69,-0.2597349301759947,-0.2887737581617409,-0.4236533025622492
217,276.0,738.85,5.331710455931695,4.236817474187578,0.959460380183404
37,43.0,792.16,0.11689092484680302,-0.04961649791563866,1.326003382903481
40,58.0,807.79,0.20380458369821788,0.22633418698371008,1.4334704084618155
37,40.0,784.26,0.11689092484680302,-0.1048066348955084,1.2716854365240287
13,14.0,588.71,-0.5784183459645158,-0.5831211553877129,-0.07285562860279797
22,34.0,441.64,-0.31767736941027125,-0.2151869088552479,-1.08406327088458
13,16.0,573.99,-0.5784183459645158,-0.5463277307344664,-0.1740657767933729
29,32.0,773.04,-0.11487883209030327,-0.2519803335084944,1.1945402012863757
29,38.0,792.37,-0.11487883209030327,-0.1416000595487549,1.3274472776806565
15,19.0,494.53,-0.5204759067302392,-0.49113759375459665,-0.7204080577188534
12,19.0,588.43,-0.6073895655816541,-0.49113759375459665,-0.07478082163903232
17,19.0,585.94,-0.4625334674959627,-0.49113759375459665,-0.09190128828268182
45,64.0,519.02,0.3486606817839093,0.3367144609434496,-0.5520224239425507
20,30.0,592.33,-0.37561980864454786,-0.2887737581617409,-0.047965632920061486
12,17.0,588.71,-0.6073895655816541,-0.5279310184078432,-0.07285562860279797
16,21.0,814.81,-0.49150468711310097,-0.4543441691013501,1.4817377481559617
13,17.0,467.5,-0.5784183459645158,-0.5279310184078432,-0.9062579426095622
16,24.0,551.92,-0.49150468711310097,-0.3991540321214804,-0.3258122421850842
19,27.0,586.82,-0.40459102826168614,-0.34396389514161063,-0.08585068159737574
13,14.0,568.93,-0.5784183459645158,-0.5831211553877129,-0.20885676523388338
26,33.0,470.13,-0.2017924909417181,-0.23358362118187115,-0.8881748794477952
31,38.0,588.47,-0.05693639285602669,-0.1416000595487549,-0.07450579406242697
